"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","test_categories_dropdown_contains_all[chromium]","tests.ui","Wed Jul 08 01:30:12 UTC 2026","passed","Wed Jul 08 01:30:12 UTC 2026","TestHeaderNavigation","test_header_component","",""
"","50","test_subcategory_filter_on_power_tools[chromium]","tests.ui","Wed Jul 08 01:26:11 UTC 2026","passed","Wed Jul 08 01:26:11 UTC 2026","TestFilterSection","test_category_page","",""
"","92","test_step_navigation[chromium]","tests.ui","Wed Jul 08 01:28:27 UTC 2026","passed","Wed Jul 08 01:28:27 UTC 2026","TestCheckoutSteps","test_checkout_page","",""
"","3444","test_dob_future_date[chromium]","tests.ui","Wed Jul 08 01:34:45 UTC 2026","passed","Wed Jul 08 01:34:49 UTC 2026","TestRegisterBoundary","test_register_page","",""
"","2","test_related_products_exist[chromium]","tests.ui","Wed Jul 08 01:33:04 UTC 2026","passed","Wed Jul 08 01:33:04 UTC 2026","TestProductBoundary","test_product_page","",""
"","2826","test_personal_fields_prefilled[chromium]","tests.ui","Wed Jul 08 01:33:17 UTC 2026","passed","Wed Jul 08 01:33:20 UTC 2026","TestProfilePageLoad","test_profile_page","",""
"","54","test_sql_injection_in_email[chromium]","tests.ui","Wed Jul 08 01:31:52 UTC 2026","passed","Wed Jul 08 01:31:52 UTC 2026","TestLoginBoundary","test_login_page","",""
"","7879","test_all_category_routes_accessible[chromium]","tests.ui","Wed Jul 08 01:26:13 UTC 2026","passed","Wed Jul 08 01:26:21 UTC 2026","TestAllCategories","test_category_page","",""
"","2836","test_modify_quantity[chromium]","tests.ui","Wed Jul 08 01:28:38 UTC 2026","passed","Wed Jul 08 01:28:41 UTC 2026","TestCheckoutQuantity","test_checkout_page","",""
"","3","test_power_tools_page_loads[chromium]","tests.ui","Wed Jul 08 01:25:50 UTC 2026","passed","Wed Jul 08 01:25:50 UTC 2026","TestCategoryPageLoad","test_category_page","",""
"","1640","test_password_no_special_char[chromium]","tests.ui","Wed Jul 08 01:34:13 UTC 2026","passed","Wed Jul 08 01:34:15 UTC 2026","TestRegisterValidation","test_register_page","",""
"","3","test_pagination_exists[chromium]","tests.ui","Wed Jul 08 01:31:07 UTC 2026","passed","Wed Jul 08 01:31:07 UTC 2026","TestSortAndPagination","test_home_page","",""
"","8","test_at_least_one_rental[chromium]","tests.ui","Wed Jul 08 01:35:15 UTC 2026","passed","Wed Jul 08 01:35:15 UTC 2026","TestRentalsPageLoad","test_rentals_page","",""
"","53","test_forgot_password_link_redirects[chromium]","tests.ui","Wed Jul 08 01:31:44 UTC 2026","passed","Wed Jul 08 01:31:44 UTC 2026","TestLoginNavigation","test_login_page","",""
"","1877","test_valid_email_shows_confirmation[chromium]","tests.ui","Wed Jul 08 01:29:59 UTC 2026","passed","Wed Jul 08 01:30:01 UTC 2026","TestForgotPasswordPageLoad","test_forgot_password_page","",""
"","16","test_form_elements_visible[chromium]","tests.ui","Wed Jul 08 01:29:57 UTC 2026","passed","Wed Jul 08 01:29:57 UTC 2026","TestForgotPasswordPageLoad","test_forgot_password_page","",""
"","1833","test_compare_button_toggles_state[chromium]","tests.ui","Wed Jul 08 01:32:22 UTC 2026","passed","Wed Jul 08 01:32:24 UTC 2026","TestProductCardInteraction","test_product_card_component","",""
"","1894","test_nonexistent_email_shows_error[chromium]","tests.ui","Wed Jul 08 01:31:37 UTC 2026","passed","Wed Jul 08 01:31:39 UTC 2026","TestLoginFailure","test_login_page","",""
"","15","test_hand_tools_page_loads[chromium]","tests.ui","Wed Jul 08 01:25:46 UTC 2026","passed","Wed Jul 08 01:25:46 UTC 2026","TestCategoryPageLoad","test_category_page","",""
"","1838","test_nonexistent_category_handles_gracefully[chromium]","tests.ui","Wed Jul 08 01:26:11 UTC 2026","passed","Wed Jul 08 01:26:13 UTC 2026","TestNonExistentCategory","test_category_page","",""
"","24","test_form_elements_visible[chromium]","tests.ui","Wed Jul 08 01:29:22 UTC 2026","passed","Wed Jul 08 01:29:22 UTC 2026","TestContactPageLoad","test_contact_page","",""
"","257","test_navigate_to_power_tools[chromium]","tests.ui","Wed Jul 08 01:30:32 UTC 2026","passed","Wed Jul 08 01:30:32 UTC 2026","TestHeaderBoundary","test_header_component","",""
